signal_id,signal_name,customer_id,detected_date,evidence_metric_1,evidence_metric_2,segment,behavioral_state,signal_strength,explanation,signal_limitation
319,HIGH_VALUE_SOFTENING,12853,2011-12-31,"Historical Value: 3,907.50 (>= P80: 2,910.08)",Value Momentum: -100.0% (<= -25.0%),High-Value Stable,DORMANT,High,"Customer is in the top spend quintile (spend 3,907.50) but experienced a -100.0% contraction in recent 90-day spend.",Contraction could be caused by lumpy wholesale purchase cycles.
320,HISTORICAL_VALUE_DORMANT,12853,2011-12-31,"Historical Value: 3,907.50 (>= P80: 2,910.08)",Inactivity: 134 days since last purchase (> 120d),High-Value Stable,DORMANT,Low,"Tier-1 historical customer (3,907.50 total spend) has lapsed into dormancy with 134 days of elapsed inactivity.",Wholesaler may have discontinued lines or shifted supplier accounts entirely.
321,BROAD_ENGAGEMENT_SOFTENING,12853,2011-12-31,Catalog Breadth: 111 SKUs (>= P70: 85),Frequency Momentum: -100.0% (<= -25.0%),High-Value Stable,DORMANT,High,Customer historically active across broad catalog (111 SKUs) shows declining order cadence (-100.0% recent order momentum).,May reflect consolidated bulk shipments rather than loss of underlying SKU demand.
322,POSITIVE_MOMENTUM,12854,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,SOFTENING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
323,EMERGING_BROADENING,12856,2011-12-31,State: EMERGING (Tenure: 63 days),Breadth Growth: +100.0% unique SKUs,Unsegmented (Insufficient History),EMERGING,High,Recently acquired customer is expanding across product categories (+100.0% breadth in recent window).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Early purchasing breadth may reflect initial sample exploration rather than recurring catalog demand.
324,POSITIVE_MOMENTUM,12856,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),EMERGING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
325,HISTORICAL_VALUE_DORMANT,12857,2011-12-31,"Historical Value: 3,688.00 (>= P80: 2,910.08)",Inactivity: 210 days since last purchase (> 120d),Low-Activity / Long-Recency,DORMANT,Medium,"Tier-1 historical customer (3,688.00 total spend) has lapsed into dormancy with 210 days of elapsed inactivity.",Zero baseline in prior 90-day comparison window. | Wholesaler may have discontinued lines or shifted supplier accounts entirely.
326,POSITIVE_MOMENTUM,12863,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
327,HIGH_VALUE_SOFTENING,12865,2011-12-31,"Historical Value: 3,323.47 (>= P80: 2,910.08)",Value Momentum: -40.2% (<= -25.0%),High-Value Stable,ENGAGED,Medium,"Customer is in the top spend quintile (spend 3,323.47) but experienced a -40.2% contraction in recent 90-day spend.",Contraction could be caused by lumpy wholesale purchase cycles.
328,BROAD_ENGAGEMENT_SOFTENING,12867,2011-12-31,Catalog Breadth: 365 SKUs (>= P70: 85),Frequency Momentum: -50.0% (<= -25.0%),High-Value Stable,ENGAGED,High,Customer historically active across broad catalog (365 SKUs) shows declining order cadence (-50.0% recent order momentum).,May reflect consolidated bulk shipments rather than loss of underlying SKU demand.
329,POSITIVE_MOMENTUM,12871,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,SOFTENING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
330,HISTORICAL_VALUE_DORMANT,12872,2011-12-31,"Historical Value: 3,283.96 (>= P80: 2,910.08)",Inactivity: 326 days since last purchase (> 120d),High-Value Stable,DORMANT,High,"Tier-1 historical customer (3,283.96 total spend) has lapsed into dormancy with 326 days of elapsed inactivity.",Zero baseline in prior 90-day comparison window. | Wholesaler may have discontinued lines or shifted supplier accounts entirely.
331,POSITIVE_MOMENTUM,12876,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
332,HIGH_FREQUENCY_LOW_VALUE,12877,2011-12-31,Order Frequency: 20 orders (>= P80: 8),AOV: 147.11 (<= P40: 233.82),High-Value Stable,ENGAGED,Medium,Highly frequent ordering behavior (20 lifetime orders) paired with modest average basket value (147.11).,Fulfillment overhead per order may erode margin without minimum basket thresholds.
333,POSITIVE_MOMENTUM,12877,2011-12-31,Spend Momentum: +26.3% (>= +25.0%),Order Momentum: +50.0% (>= +25.0%),High-Value Stable,ENGAGED,Low,Customer shows synchronized double-digit expansion across recent 90d spend (+26.3%) and order volume (+50.0%).,Short-term seasonal order spikes can temporarily inflate momentum percentages.
334,POSITIVE_MOMENTUM,12879,2011-12-31,Spend Momentum: +208.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,SOFTENING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+208.0%) and order volume (+100.0%).,Short-term seasonal order spikes can temporarily inflate momentum percentages.
335,EMERGING_BROADENING,12882,2011-12-31,State: EMERGING (Tenure: 33 days),Breadth Growth: +100.0% unique SKUs,Unsegmented (Insufficient History),EMERGING,High,Recently acquired customer is expanding across product categories (+100.0% breadth in recent window).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Early purchasing breadth may reflect initial sample exploration rather than recurring catalog demand.
336,POSITIVE_MOMENTUM,12882,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),EMERGING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
337,POSITIVE_MOMENTUM,12883,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
338,POSITIVE_MOMENTUM,12884,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),SOFTENING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
339,POSITIVE_MOMENTUM,12886,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
340,POSITIVE_MOMENTUM,12890,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
341,HIGH_FREQUENCY_LOW_VALUE,12891,2011-12-31,Order Frequency: 11 orders (>= P80: 8),AOV: 76.41 (<= P40: 233.82),Low-Activity / Long-Recency,DORMANT,High,Highly frequent ordering behavior (11 lifetime orders) paired with modest average basket value (76.41).,Zero baseline in prior 90-day comparison window. | Fulfillment overhead per order may erode margin without minimum basket thresholds.
342,EMERGING_BROADENING,12893,2011-12-31,State: EMERGING (Tenure: 30 days),Breadth Growth: +100.0% unique SKUs,Unsegmented (Insufficient History),EMERGING,High,Recently acquired customer is expanding across product categories (+100.0% breadth in recent window).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Early purchasing breadth may reflect initial sample exploration rather than recurring catalog demand.
343,POSITIVE_MOMENTUM,12893,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),EMERGING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
344,POSITIVE_MOMENTUM,12895,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
345,POSITIVE_MOMENTUM,12901,2011-12-31,Spend Momentum: +68.1% (>= +25.0%),Order Momentum: +28.6% (>= +25.0%),High-Value Stable,ENGAGED,Low,Customer shows synchronized double-digit expansion across recent 90d spend (+68.1%) and order volume (+28.6%).,Short-term seasonal order spikes can temporarily inflate momentum percentages.
346,POSITIVE_MOMENTUM,12906,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
347,POSITIVE_MOMENTUM,12909,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
348,POSITIVE_MOMENTUM,12910,2011-12-31,Spend Momentum: +361.1% (>= +25.0%),Order Momentum: +300.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+361.1%) and order volume (+300.0%).,Short-term seasonal order spikes can temporarily inflate momentum percentages.
349,EMERGING_BROADENING,12912,2011-12-31,State: EMERGING (Tenure: 40 days),Breadth Growth: +100.0% unique SKUs,Unsegmented (Insufficient History),EMERGING,High,Recently acquired customer is expanding across product categories (+100.0% breadth in recent window).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Early purchasing breadth may reflect initial sample exploration rather than recurring catalog demand.
350,POSITIVE_MOMENTUM,12912,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),EMERGING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
351,POSITIVE_MOMENTUM,12913,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),High-Value Stable,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
352,HIGH_VALUE_SOFTENING,12916,2011-12-31,"Historical Value: 4,479.73 (>= P80: 2,910.08)",Value Momentum: -100.0% (<= -25.0%),Low-Activity / Long-Recency,DORMANT,High,"Customer is in the top spend quintile (spend 4,479.73) but experienced a -100.0% contraction in recent 90-day spend.",Contraction could be caused by lumpy wholesale purchase cycles.
353,HISTORICAL_VALUE_DORMANT,12916,2011-12-31,"Historical Value: 4,479.73 (>= P80: 2,910.08)",Inactivity: 138 days since last purchase (> 120d),Low-Activity / Long-Recency,DORMANT,Low,"Tier-1 historical customer (4,479.73 total spend) has lapsed into dormancy with 138 days of elapsed inactivity.",Wholesaler may have discontinued lines or shifted supplier accounts entirely.
354,HIGH_VALUE_SOFTENING,12917,2011-12-31,"Historical Value: 4,359.20 (>= P80: 2,910.08)",Value Momentum: -100.0% (<= -25.0%),Low-Activity / Long-Recency,DORMANT,High,"Customer is in the top spend quintile (spend 4,359.20) but experienced a -100.0% contraction in recent 90-day spend.",Contraction could be caused by lumpy wholesale purchase cycles.
355,HISTORICAL_VALUE_DORMANT,12917,2011-12-31,"Historical Value: 4,359.20 (>= P80: 2,910.08)",Inactivity: 128 days since last purchase (> 120d),Low-Activity / Long-Recency,DORMANT,Low,"Tier-1 historical customer (4,359.20 total spend) has lapsed into dormancy with 128 days of elapsed inactivity.",Wholesaler may have discontinued lines or shifted supplier accounts entirely.
356,HISTORICAL_VALUE_DORMANT,12918,2011-12-31,"Historical Value: 10,953.50 (>= P80: 2,910.08)",Inactivity: 626 days since last purchase (> 120d),Unsegmented (Insufficient History),DORMANT,High,"Tier-1 historical customer (10,953.50 total spend) has lapsed into dormancy with 626 days of elapsed inactivity.",Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Elevated customer reversal/return rate (>10% of total spend). | Zero baseline in prior 90-day comparison window. | Wholesaler may have discontinued lines or shifted supplier accounts entirely.
357,POSITIVE_MOMENTUM,12920,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
358,POSITIVE_MOMENTUM,12921,2011-12-31,Spend Momentum: +62.1% (>= +25.0%),Order Momentum: +44.4% (>= +25.0%),High-Value Stable,ENGAGED,Medium,Customer shows synchronized double-digit expansion across recent 90d spend (+62.1%) and order volume (+44.4%).,Short-term seasonal order spikes can temporarily inflate momentum percentages.
359,POSITIVE_MOMENTUM,12923,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
360,HIGH_FREQUENCY_LOW_VALUE,12924,2011-12-31,Order Frequency: 12 orders (>= P80: 8),AOV: 205.78 (<= P40: 233.82),High-Value Stable,SOFTENING,Low,Highly frequent ordering behavior (12 lifetime orders) paired with modest average basket value (205.78).,Zero baseline in prior 90-day comparison window. | Fulfillment overhead per order may erode margin without minimum basket thresholds.
361,POSITIVE_MOMENTUM,12924,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),High-Value Stable,SOFTENING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
362,POSITIVE_MOMENTUM,12925,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
363,POSITIVE_MOMENTUM,12928,2011-12-31,Spend Momentum: +160.2% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),High-Value Stable,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+160.2%) and order volume (+100.0%).,Short-term seasonal order spikes can temporarily inflate momentum percentages.
364,HIGH_VALUE_SOFTENING,12931,2011-12-31,"Historical Value: 91,810.34 (>= P80: 2,910.08)",Value Momentum: -68.6% (<= -25.0%),High-Value Stable,ENGAGED,High,"Customer is in the top spend quintile (spend 91,810.34) but experienced a -68.6% contraction in recent 90-day spend.",Elevated customer reversal/return rate (>10% of total spend). | Contraction could be caused by lumpy wholesale purchase cycles.
365,HIGH_FREQUENCY_LOW_VALUE,12932,2011-12-31,Order Frequency: 8 orders (>= P80: 8),AOV: 212.32 (<= P40: 233.82),Low-Activity / Long-Recency,DORMANT,Low,Highly frequent ordering behavior (8 lifetime orders) paired with modest average basket value (212.32).,Zero baseline in prior 90-day comparison window. | Fulfillment overhead per order may erode margin without minimum basket thresholds.
366,HIGH_FREQUENCY_LOW_VALUE,12933,2011-12-31,Order Frequency: 8 orders (>= P80: 8),AOV: 204.58 (<= P40: 233.82),High-Value Stable,ENGAGED,Low,Highly frequent ordering behavior (8 lifetime orders) paired with modest average basket value (204.58).,Fulfillment overhead per order may erode margin without minimum basket thresholds.
367,POSITIVE_MOMENTUM,12936,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
368,POSITIVE_MOMENTUM,12937,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),High-Value Stable,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
369,EMERGING_BROADENING,12938,2011-12-31,State: EMERGING (Tenure: 25 days),Breadth Growth: +100.0% unique SKUs,Unsegmented (Insufficient History),EMERGING,High,Recently acquired customer is expanding across product categories (+100.0% breadth in recent window).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Early purchasing breadth may reflect initial sample exploration rather than recurring catalog demand.
370,POSITIVE_MOMENTUM,12938,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),EMERGING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
371,POSITIVE_MOMENTUM,12939,2011-12-31,Spend Momentum: +371.5% (>= +25.0%),Order Momentum: +300.0% (>= +25.0%),Emerging Engagement,SOFTENING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+371.5%) and order volume (+300.0%).,Short-term seasonal order spikes can temporarily inflate momentum percentages.
372,POSITIVE_MOMENTUM,12940,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
373,POSITIVE_MOMENTUM,12944,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
374,HIGH_VALUE_SOFTENING,12949,2011-12-31,"Historical Value: 15,526.70 (>= P80: 2,910.08)",Value Momentum: -40.1% (<= -25.0%),High-Value Stable,SOFTENING,Medium,"Customer is in the top spend quintile (spend 15,526.70) but experienced a -40.1% contraction in recent 90-day spend.",Contraction could be caused by lumpy wholesale purchase cycles.
375,BROAD_ENGAGEMENT_SOFTENING,12949,2011-12-31,Catalog Breadth: 347 SKUs (>= P70: 85),Frequency Momentum: -75.0% (<= -25.0%),High-Value Stable,SOFTENING,High,Customer historically active across broad catalog (347 SKUs) shows declining order cadence (-75.0% recent order momentum).,May reflect consolidated bulk shipments rather than loss of underlying SKU demand.
376,EMERGING_BROADENING,12950,2011-12-31,State: EMERGING (Tenure: 24 days),Breadth Growth: +100.0% unique SKUs,Unsegmented (Insufficient History),EMERGING,High,Recently acquired customer is expanding across product categories (+100.0% breadth in recent window).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Early purchasing breadth may reflect initial sample exploration rather than recurring catalog demand.
377,POSITIVE_MOMENTUM,12950,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),EMERGING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
378,HIGH_FREQUENCY_LOW_VALUE,12951,2011-12-31,Order Frequency: 15 orders (>= P80: 8),AOV: 214.25 (<= P40: 233.82),High-Value Stable,REACTIVATED,Low,Highly frequent ordering behavior (15 lifetime orders) paired with modest average basket value (214.25).,Fulfillment overhead per order may erode margin without minimum basket thresholds.
379,POSITIVE_MOMENTUM,12952,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
380,POSITIVE_MOMENTUM,12953,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
381,POSITIVE_MOMENTUM,12955,2011-12-31,Spend Momentum: +154.3% (>= +25.0%),Order Momentum: +66.7% (>= +25.0%),High-Value Stable,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+154.3%) and order volume (+66.7%).,Short-term seasonal order spikes can temporarily inflate momentum percentages.
382,POSITIVE_MOMENTUM,12957,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),High-Value Stable,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
383,POSITIVE_MOMENTUM,12963,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),High-Value Stable,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
384,POSITIVE_MOMENTUM,12965,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),SOFTENING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
385,EMERGING_BROADENING,12966,2011-12-31,State: EMERGING (Tenure: 9 days),Breadth Growth: +100.0% unique SKUs,Unsegmented (Insufficient History),EMERGING,High,Recently acquired customer is expanding across product categories (+100.0% breadth in recent window).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Early purchasing breadth may reflect initial sample exploration rather than recurring catalog demand.
386,POSITIVE_MOMENTUM,12966,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),EMERGING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
387,HISTORICAL_VALUE_DORMANT,12967,2011-12-31,"Historical Value: 2,938.52 (>= P80: 2,910.08)",Inactivity: 358 days since last purchase (> 120d),Low-Activity / Long-Recency,DORMANT,High,"Tier-1 historical customer (2,938.52 total spend) has lapsed into dormancy with 358 days of elapsed inactivity.",Elevated customer reversal/return rate (>10% of total spend). | Zero baseline in prior 90-day comparison window. | Wholesaler may have discontinued lines or shifted supplier accounts entirely.
388,HIGH_FREQUENCY_LOW_VALUE,12970,2011-12-31,Order Frequency: 10 orders (>= P80: 8),AOV: 145.36 (<= P40: 233.82),Emerging Engagement,REACTIVATED,Medium,Highly frequent ordering behavior (10 lifetime orders) paired with modest average basket value (145.36).,Zero baseline in prior 90-day comparison window. | Fulfillment overhead per order may erode margin without minimum basket thresholds.
389,POSITIVE_MOMENTUM,12970,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,REACTIVATED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
390,HIGH_FREQUENCY_LOW_VALUE,12971,2011-12-31,Order Frequency: 116 orders (>= P80: 8),AOV: 135.38 (<= P40: 233.82),High-Value Stable,ENGAGED,High,Highly frequent ordering behavior (116 lifetime orders) paired with modest average basket value (135.38).,Fulfillment overhead per order may erode margin without minimum basket thresholds.
391,HISTORICAL_VALUE_DORMANT,12976,2011-12-31,"Historical Value: 3,156.38 (>= P80: 2,910.08)",Inactivity: 211 days since last purchase (> 120d),High-Value Stable,DORMANT,Medium,"Tier-1 historical customer (3,156.38 total spend) has lapsed into dormancy with 211 days of elapsed inactivity.",Zero baseline in prior 90-day comparison window. | Wholesaler may have discontinued lines or shifted supplier accounts entirely.
392,HIGH_VALUE_SOFTENING,12980,2011-12-31,"Historical Value: 16,245.78 (>= P80: 2,910.08)",Value Momentum: -100.0% (<= -25.0%),High-Value Stable,DORMANT,High,"Customer is in the top spend quintile (spend 16,245.78) but experienced a -100.0% contraction in recent 90-day spend.",Contraction could be caused by lumpy wholesale purchase cycles.
393,HISTORICAL_VALUE_DORMANT,12980,2011-12-31,"Historical Value: 16,245.78 (>= P80: 2,910.08)",Inactivity: 157 days since last purchase (> 120d),High-Value Stable,DORMANT,Low,"Tier-1 historical customer (16,245.78 total spend) has lapsed into dormancy with 157 days of elapsed inactivity.",Wholesaler may have discontinued lines or shifted supplier accounts entirely.
